Seq.,Grp,Sub-Cat,Stock,Description_x,Package,On Hand /cs_x,Shelf Life_x,Arrive Date_x,Lot Number_x,On Hand /cs_y,Shelf Life_y,Arrive Date_y,Lot Number_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,F,40020 * FANCY NERIMONO *,63552,F-TOKUYO SURIMI,30/17.6 OZ,5,7/30/2020,9/19/2019 0:00,CK19-4055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,F,"43590 * GYORAN, OTHERS, FROZEN",3233,F-BINCHO NERI KARASUMI,20/50g,6,7/31/2020,4/17/2019 0:00,CK19-4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,F,29530 * EGG ROLL SKIN *,70746,F-RICE HARUMAKI WRAPPER ITSUJI,30/120g(10pcs),10,8/1/2020,10/24/2019 0:00,CK10-4068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,F,"43560 * KAI, FROZEN *",71228,F-3S HOTATE KAIBASHIRA FK,10/2.2#(41-50PC),36,8/3/2020,10/17/2019 0:00,LA-1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,F,"42530 * FISH,MARINATED, FROZEN",74490,F-KONBU SHIO SABA YOSHU,15/160g(2pcs) 2a,26,8/22/2020,10/8/2020 0:00,CK20-4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,F,26630 * MOCHIGASHI *,44720,F-SHIRATAMA MOCHI MITAKE,10/2.2#,84,8/23/2020,12/12/2019 0:00,CT19-4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,F,24740 * TSUMA *,61712,F-AO TOSAKA NORI,15/2.2 lbs,6,8/30/2020,12/19/2019 0:00,CK19-4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,F,48030 * NATTO *,74449,F-MITO NATTO MINI CUP,24/3x40g Yamashige,150,10/7/2020,5/26/2020 0:00,CK20-4050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,F,29510 * GYOZA SKIN *,44046,F-GYOZA NO KAWA,4/12/35 PC,16,10/7/2020,12/12/2019 0:00,CT19-4029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,F,22560 * YUZU FLAVORING *,34205 1,F-KIZAMI YUZU,50/50g(1.78oz),8,10/13/2020,12/12/2019 0:00,CK19-40745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,F,"27920 * SOBA, FROZEN *",44628,F-SARASHINA SOBA (JPN),8/5x8.1oz,171,10/15/2020,12/19/2019 0:00,CK19-4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,F,"47010 * YAMAIMO & SATOIMO, FROZ",70494 1,F-TORORO IMO (YAMATOIMO 100%),20/1.1#(500G),20,10/26/2020,12/19/2019 0:00,CK19-4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,F,40020 * FANCY NERIMONO *,63552,F-TOKUYO SURIMI,30/17.6 OZ,3,10/30/2020,12/19/2019 0:00,CK19-4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,F,"43590 * GYORAN, OTHERS, FROZEN",71559,F-IKURA SHOYU ZUKE,12/2.2#/JPN,1,11/30/2020,8/18/2020 0:00,D-04274201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,F,26630 * MOCHIGASHI *,44720,F-SHIRATAMA MOCHI MITAKE,10/2.2#,20,12/3/2020,4/8/2020 0:00,CT20-4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,F,24580 * SUSHI KOMBU *,60744,F-BATTERA KONBU 1#,100PC(SM),60,12/3/2020,4/8/2020 0:00,CT20-4002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,F,24760 * MOZUKU *,70487,F-CHURA UMI MOZUKU,10/240g 4a,106,12/23/2020,4/8/2020 0:00,CK20-4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,F,22560 * YUZU FLAVORING *,76264,F-YUZU JUICE 100% KOCHI ICE,6/1L UNSWEETENED,80,1/23/2021,4/8/2020 0:00,CK20-4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,F,22530 * WASABI *,70490,F-RAIFORT HORSERADISH,6/10/100g KINJIRUSHI,1,1/29/2021,5/26/2020 0:00,CK20-4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,F,24740 * TSUMA *,61712,F-AO TOSAKA NORI,15/2.2 lbs,6,2/1/2021,5/26/2020 0:00,CK20-4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,F,24740 * TSUMA *,61702,F-AKA TOSAKA NORI,15/2.2 lbs,2,2/1/2021,5/26/2020 0:00,CK20-4035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,F,29530 * EGG ROLL SKIN *,70746,F-RICE HARUMAKI WRAPPER ITSUJI,30/120g(10pcs),6,2/4/2021,4/8/2020 0:00,CK20-4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,F,"28310 * RAMEN, FROZEN *",43136,F-RAMEN CURL #22 KANOYA,8/5x7.05oz,200,2/5/2021,4/8/2020 0:00,CK20-4017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,F,26630 * MOCHIGASHI *,44720,F-SHIRATAMA MOCHI MITAKE,10/2.2#,40,2/12/2021,5/26/2020 0:00,CT20-4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,F,26630 * MOCHIGASHI *,44721,F-TAMASAN SHIRATAMA MOCHI,5/2.2#,12,3/16/2021,5/26/2020 0:00,CT20-4013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,F,22560 * YUZU FLAVORING *,76264,F-YUZU JUICE 100% KOCHI ICE,6/1L UNSWEETENED,60,3/19/2021,5/26/2020 0:00,CK20-4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,F,48030 * NATTO *,71083,F-SUSHI NO HANA NATTO,6/5/10.5 OZ,20,3/25/2021,5/26/2020 0:00,CT20-4017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,F,40050 * TAMAGOYAKI *,71311 2,F-KINSHI TAMAGO(FLAKE)AJIKAN,20/1.1#(500g),30,3/31/2021,5/26/2020 0:00,CK20-4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,F,25060 * YUBA *,63381,F-HIKIAGE YUBA SHEET,20pk/10pc(ab.32g/pc),2,3/31/2021,5/26/2020 0:00,CK20-4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,F,29510 * GYOZA SKIN *,44046,F-GYOZA NO KAWA,4/12/35 PC,10,4/1/2021,5/26/2020 0:00,CT20-4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,F,24580 * SUSHI KOMBU *,60744,F-BATTERA KONBU 1#,100PC(SM),50,6/14/2021,10/8/2020 0:00,CT2-4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,F,"47090 * VEGETABLE, OTHERS, FROZ",71540,F-NISHIME YASAI MIXED CRY,20/1.1#,400,8/6/2021,9/29/2020 0:00,F12C20-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,F,"47090 * VEGETABLE, OTHERS, FROZ",74001,F-MIXED VEGETABLE NAMUL CRY,20/1.1# Seasoned,70,9/23/2021,9/29/2020 0:00,F12C20-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L,17010 * SHOCHIKUBAI SAKE *,48,SCB SAKE(+3),18 LIT,48,,6/20/2016 0:00,D-03431501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L,17010 * SHOCHIKUBAI SAKE *,51,SCB SAKE W/ NO BOX(+3),6/1.5 L,51,,2016/12/15 or Before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L,17010 * SHOCHIKUBAI SAKE *,52,SCB SAKE W/NO BOX (+3),12/750 ML,52,,1/9/2017 0:00,MK-1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L,17010 * SHOCHIKUBAI SAKE *,54,SCB U.S.A. SAKE(+3),24/180 ML,54,,8/28/2017 0:00,D-03679001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L,17010 * SHOCHIKUBAI SAKE *,56,"SCB GIFT, CASK SAKE(+3)",6/1.5 LIT,56,,10/26/2017 0:00,MK1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L,17010 * SHOCHIKUBAI SAKE *,58,SCB NIGORI SILKY MILD (-20),6/1.5 LIT,58,,1/30/2018 0:00,CK17-4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
